Link,customId,Id_Evento,Cartao_Vermelho_Fora,Data_Hora,Evento_Slug,Torneio,Pais,Torneio_Slug,Id_Unico_Torneio,Evento_com_Estats,Id_Torneio,Status_Partida,Time_Casa,Id_Time_Casa,Time_Fora,Id_Time_Fora,Gols_Casa,Gols_Casa_1T,Gols_Casa_2T,Gols_Casa_Tempo_Normal,Gols_Fora,Gols_Fora_1T,Gols_Fora_2T,Gols_Fora_Tempo_Normal,Tempo_Extra_1T,Tempo_Extra_2T,Cartao_Vermelho_Casa,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,time.injuryTime3,time.injuryTime4,homeScore.penalties,awayScore.penalties,Odd_Frac_Casa,Odds_Decimais_Casa,Prob_Casa,Odd_Frac_Empate,Odds_Decimais_Empate,Prob_Empate,Odd_Frac_Fora,Odds_Decimais_Fora,Prob_Fora
https://www.sofascore.com/jordan-india/Nidbsvbkb,Nidbsvbkb,11147409,,2023-03-22 10:00:00,jordan-india,"International Friendly Games, Women",World,int-friendly-games-women,852,False,1039,Ended,Jordan,150070,India,132938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,,,,,,,,,,,2/1,3.0,33.33,5/2,3.5,28.57,1/1,2.0,50.0
https://www.sofascore.com/romania-u19-norway-u19/Vajscbj,Vajscbj,10969712,,2023-03-22 11:00:00,romania-u19-norway-u19,"U19 European Championship, Elite round - Gr. 1",Europe,u19-european-championship-qualif,748,False,11933,Ended,Norway U19,22545,Romania U19,22552,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,19/20,1.95,51.28,9/4,3.25,30.77,12/5,3.4,29.41
https://www.sofascore.com/turkey-u19-iceland-u19/qajsqbj,qajsqbj,10969637,2.0,2023-03-22 11:00:00,turkey-u19-iceland-u19,"U19 European Championship, Elite round - Gr. 7",Europe,u19-european-championship-qualif,748,False,11942,Ended,Iceland U19,22516,Turkey U19,22566,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,,,,,,,,,,,,5/2,3.5,28.57,14/5,3.8,26.32,3/4,1.75,57.14
https://www.sofascore.com/slovenia-u21-slovakia-u21/cwcswCc,cwcswCc,11136530,,2023-03-22 12:00:00,slovenia-u21-slovakia-u21,U21 Friendly Games,World,u21-friendly-games,854,False,1435,Ended,Slovenia U21,6371,Slovakia U21,6052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,7/5,2.4,41.67,21/10,3.1,32.26,17/10,2.7,37.04
https://www.sofascore.com/usa-u20-france-u20/Fdjsxej,Fdjsxej,11138934,,2023-03-22 12:00:00,usa-u20-france-u20,U20 Friendly Games,World,u20-friendly-games,855,False,6238,Ended,USA U20,22722,France U20,22680,0.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,,,,,,,,,,,,,,3/1,4.0,25.0,5/2,3.5,28.57,8/11,1.73,57.8
https://www.sofascore.com/nk-rudes-nk-ponikve/Beoseuub,Beoseuub,11148180,,2023-03-22 12:00:00,nk-rudes-nk-ponikve,Club Friendly Games,World,club-friendly-games,853,False,86,Ended,NK Ponikve,173454,NK Rudeš,35226,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,16/1,17.0,5.88,10/1,11.0,9.09,1/14,1.07,93.46
https://www.sofascore.com/slovenia-u19-belgium-u19/PZisjbj,PZisjbj,10969707,,2023-03-22 12:00:00,slovenia-u19-belgium-u19,"U19 European Championship, Elite round - Gr. 2",Europe,u19-european-championship-qualif,748,False,11934,Ended,Belgium U19,22490,Slovenia U19,22559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,4/5,1.8,55.56,5/2,3.5,28.57,13/5,3.6,27.78
https://www.sofascore.com/independiente-santa-fe-deportivo-cali/mxcsqxc,mxcsqxc,11100798,,2023-03-22 12:15:00,independiente-santa-fe-deportivo-cali,"Primera A, Apertura",Colombia,primera-a-apertura,11539,True,19232,Ended,Independiente Santa Fe,6116,Deportivo Cali,6112,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,,,,,,,,,,,,17/20,1.85,54.05,21/10,3.1,32.26,4/1,5.0,20.0
https://www.sofascore.com/slovakia-u19-ireland-u19/bbjsibj,bbjsibj,10969648,,2023-03-22 12:30:00,slovakia-u19-ireland-u19,"U19 European Championship, Elite round - Gr. 5",Europe,u19-european-championship-qualif,748,False,11938,Ended,Ireland U19,22551,Slovakia U19,22558,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,6/5,2.2,45.45,5/2,3.5,28.57,17/10,2.7,37.04
https://www.sofascore.com/skeid-lyn-fk/hnsEn,hnsEn,11148113,,2023-03-22 12:45:00,skeid-lyn-fk,Club Friendly Games,World,club-friendly-games,853,False,86,Ended,Skeid,679,Lyn FK,657,2.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,,,,,,,,,,,,,,5/6,1.83,54.64,3/1,4.0,25.0,21/10,3.1,32.26
