Id_Jogo,link_jogo,Torneio,Horario,Time1,Gol_T1,Gol_T2,Time2
Sjh8oDAa,https://www.flashscore.com.br/jogo/Sjh8oDAa/#/resumo-de-jogo,COSTA RICA# Primeira División - Encerramento,24/03/2023 23:00,Alajuelense,2,0,Guanacasteca
dhwdDUYG,https://www.flashscore.com.br/jogo/dhwdDUYG/#/resumo-de-jogo,EUA# MLS Next Pro,24/03/2023 23:00,Real Monarchs,0,2,Minnesota 2
YmeGqiuC,https://www.flashscore.com.br/jogo/YmeGqiuC/#/resumo-de-jogo,COSTA RICA# Primeira División - Encerramento,24/03/2023 23:00,Puntarenas FC,3,2,Saprissa
pYNitSpl,https://www.flashscore.com.br/jogo/pYNitSpl/#/resumo-de-jogo,AMÉRICA DO NORTE E CENTRAL# Liga das Nações da CONCACAF - Liga B,24/03/2023 23:00,Belize,1,2,Guatemala
pWrVPybE,https://www.flashscore.com.br/jogo/pWrVPybE/#/resumo-de-jogo,MÉXICO# Liga MX Feminina - Encerramento,25/03/2023 00:05,Querétaro F,0,0,U.N.A.M. F
WxObSo6E,https://www.flashscore.com.br/jogo/WxObSo6E/#/resumo-de-jogo,MÉXICO# Liga MX - Encerramento,25/03/2023 00:05,Mazatlan FC,1,1,Leon
M3WjTJqi,https://www.flashscore.com.br/jogo/M3WjTJqi/#/resumo-de-jogo,AUSTRÁLIA# NPL - NSW Norte,25/03/2023 00:30,Adamstown Rosebud,0,0,New Lambton
zoiDxghh,https://www.flashscore.com.br/jogo/zoiDxghh/#/resumo-de-jogo,AUSTRÁLIA# NPL - Tasmânia,25/03/2023 00:30,Riverside Olympic,0,0,Kingborough Lions
Eu8OGwvK,https://www.flashscore.com.br/jogo/Eu8OGwvK/#/resumo-de-jogo,AUSTRÁLIA# A-League Feminina,25/03/2023 01:00,Western United F,0,0,Canberra F
GIFD6hxB,https://www.flashscore.com.br/jogo/GIFD6hxB/#/resumo-de-jogo,JAPÃO# Liga Nadeshiko Feminina,25/03/2023 01:00,Yokohama FC Seagulls F,0,0,NGU Nagoya F
xSG97YM4,https://www.flashscore.com.br/jogo/xSG97YM4/#/resumo-de-jogo,JAPÃO# Liga Nadeshiko Feminina,25/03/2023 01:00,Gunma F,0,0,Nittaidai F
AuFH5CiH,https://www.flashscore.com.br/jogo/AuFH5CiH/#/resumo-de-jogo,JAPÃO# Liga Nadeshiko Feminina,25/03/2023 01:00,Ehime F,0,0,Harima Albion F
EZYu4v0r,https://www.flashscore.com.br/jogo/EZYu4v0r/#/resumo-de-jogo,JAPÃO# Liga WE Feminina,25/03/2023 01:00,Albirex Niigata F,0,0,Saitama F
zk9KHJOD,https://www.flashscore.com.br/jogo/zk9KHJOD/#/resumo-de-jogo,AUSTRÁLIA# A-League Feminina,25/03/2023 01:00,Sydney F,0,0,Adelaide F
4v2nuQjR,https://www.flashscore.com.br/jogo/4v2nuQjR/#/resumo-de-jogo,AUSTRÁLIA# NPL - Victoria,25/03/2023 01:00,Moreland City,0,0,North Geelong
Ew3GZipa,https://www.flashscore.com.br/jogo/Ew3GZipa/#/resumo-de-jogo,AUSTRÁLIA# A-League Feminina,25/03/2023 01:00,Newcastle F,0,0,Wellington Phoenix F
ALvFzpar,https://www.flashscore.com.br/jogo/ALvFzpar/#/resumo-de-jogo,AUSTRÁLIA# NPL - Victoria,25/03/2023 01:15,Avondale FC,0,0,Green Gully
6Pq36c0c,https://www.flashscore.com.br/jogo/6Pq36c0c/#/resumo-de-jogo,AUSTRÁLIA# Premier League Nacional - Sul da Austrália,25/03/2023 01:30,Modbury,0,0,South Adelaide
0nq75HF3,https://www.flashscore.com.br/jogo/0nq75HF3/#/resumo-de-jogo,AUSTRÁLIA# Premier League Nacional - Sul da Austrália,25/03/2023 01:30,Sturt Lions,0,0,Adelaide U21
bPZl4pA8,https://www.flashscore.com.br/jogo/bPZl4pA8/#/resumo-de-jogo,COREIA DO SUL# Liga WK Feminina,25/03/2023 02:00,Sejong Sportstoto F,0,0,Hwacheon F
dKe6u1X7,https://www.flashscore.com.br/jogo/dKe6u1X7/#/resumo-de-jogo,COREIA DO SUL# Liga WK Feminina,25/03/2023 02:00,Gyeongju F,0,0,Suwon FC F
ITd2tsI1,https://www.flashscore.com.br/jogo/ITd2tsI1/#/resumo-de-jogo,COREIA DO SUL# Liga WK Feminina,25/03/2023 02:00,Changnyeong F,0,0,Seoul F
lOFI3OA4,https://www.flashscore.com.br/jogo/lOFI3OA4/#/resumo-de-jogo,JAPÃO# Liga J2,25/03/2023 02:00,Tokushima,0,0,Blaublitz
8MHqsZ3r,https://www.flashscore.com.br/jogo/8MHqsZ3r/#/resumo-de-jogo,COREIA DO SUL# Liga K3,25/03/2023 02:00,Gangneung,0,0,Ulsan Citizen
8QXK4W6N,https://www.flashscore.com.br/jogo/8QXK4W6N/#/resumo-de-jogo,JAPÃO# Liga Nadeshiko Feminina,25/03/2023 02:00,Yamato Sylphid F,0,0,Setagaya Sfida FC F
27D66QQo,https://www.flashscore.com.br/jogo/27D66QQo/#/resumo-de-jogo,JAPÃO# Liga J2,25/03/2023 02:00,Vegalta Sendai,0,0,Kanazawa
Wn5N2rQA,https://www.flashscore.com.br/jogo/Wn5N2rQA/#/resumo-de-jogo,JAPÃO# Liga J2,25/03/2023 02:00,V-Varen Nagasaki,0,0,Yamagata
AXGE44eb,https://www.flashscore.com.br/jogo/AXGE44eb/#/resumo-de-jogo,JAPÃO# Liga J2,25/03/2023 02:00,Chiba,0,0,Okayama
tbCA5pth,https://www.flashscore.com.br/jogo/tbCA5pth/#/resumo-de-jogo,JAPÃO# Liga J2,25/03/2023 02:00,Omiya Ardija,0,0,Oita
hQXq3bFl,https://www.flashscore.com.br/jogo/hQXq3bFl/#/resumo-de-jogo,JAPÃO# Liga WE Feminina,25/03/2023 02:00,Parceiro Nagano F,0,0,JEF United F
rJQPqQP8,https://www.flashscore.com.br/jogo/rJQPqQP8/#/resumo-de-jogo,JAPÃO# Copa YBC Levain,25/03/2023 02:00,Iwata,0,0,Sapporo
IX8ef04a,https://www.flashscore.com.br/jogo/IX8ef04a/#/resumo-de-jogo,JAPÃO# Liga J3,25/03/2023 02:00,Grulla Morioka,0,0,Azul Claro Numazu
d0uMzXM4,https://www.flashscore.com.br/jogo/d0uMzXM4/#/resumo-de-jogo,AUSTRÁLIA# NPL - Tasmânia,25/03/2023 02:30,Glenorchy Knights,0,0,Launceston
EyjHyD7b,https://www.flashscore.com.br/jogo/EyjHyD7b/#/resumo-de-jogo,AUSTRÁLIA# NPL - Tasmânia,25/03/2023 02:30,Devonport,0,0,Launceston United
rwNBOebM,https://www.flashscore.com.br/jogo/rwNBOebM/#/resumo-de-jogo,AUSTRÁLIA# NPL - NSW Norte,25/03/2023 03:00,Weston Workers,0,0,Newcastle Olympic
AoE0wi37,https://www.flashscore.com.br/jogo/AoE0wi37/#/resumo-de-jogo,COREIA DO SUL# Liga K3,25/03/2023 03:00,Daejeon Korail,0,0,Hwaseong
2LAhuDYf,https://www.flashscore.com.br/jogo/2LAhuDYf/#/resumo-de-jogo,COREIA DO SUL# Liga K3,25/03/2023 03:00,Gimhae,0,0,Yangju Citizen
ABsNgUz8,https://www.flashscore.com.br/jogo/ABsNgUz8/#/resumo-de-jogo,AUSTRÁLIA# NPL - New South Wales,25/03/2023 03:00,Bulls Academy,0,0,St. George City
6J0blEPI,https://www.flashscore.com.br/jogo/6J0blEPI/#/resumo-de-jogo,CAZAQUISTÃO# Copa do Cazaquistão,25/03/2023 03:00,Zhenis,0,0,Arys
rN8R12uH,https://www.flashscore.com.br/jogo/rN8R12uH/#/resumo-de-jogo,JAPÃO# Liga J2,25/03/2023 03:00,Verdy,0,0,Kumamoto
jXoKSuLf,https://www.flashscore.com.br/jogo/jXoKSuLf/#/resumo-de-jogo,AUSTRÁLIA# Premier League Nacional - Queensland,25/03/2023 03:15,Eastern Suburbs,0,0,Redlands
EkmB4yV9,https://www.flashscore.com.br/jogo/EkmB4yV9/#/resumo-de-jogo,AUSTRÁLIA# Premier League Nacional - Sul da Austrália,25/03/2023 03:30,Adelaide Comets,0,0,Campbelltown City
8KUbRcE3,https://www.flashscore.com.br/jogo/8KUbRcE3/#/resumo-de-jogo,AUSTRÁLIA# NPL - NSW Norte,25/03/2023 04:00,Maitland,0,0,Valentine
W6JBspaj,https://www.flashscore.com.br/jogo/W6JBspaj/#/resumo-de-jogo,AUSTRÁLIA# NPL - Oeste,25/03/2023 04:00,Inglewood,0,0,Balcatta
bDBc5mic,https://www.flashscore.com.br/jogo/bDBc5mic/#/resumo-de-jogo,AUSTRÁLIA# NPL - Oeste,25/03/2023 04:00,Cockburn City,0,0,Bayswater City
fu563RL9,https://www.flashscore.com.br/jogo/fu563RL9/#/resumo-de-jogo,AUSTRÁLIA# NPL - Oeste,25/03/2023 04:00,Perth RedStar,0,0,Stirling Macedonia
lI4NRaz1,https://www.flashscore.com.br/jogo/lI4NRaz1/#/resumo-de-jogo,AUSTRÁLIA# Premier League Nacional - Queensland,25/03/2023 04:00,Gold Coast Knights,0,0,Sunshine Coast Wanderers
pANFt4Ed,https://www.flashscore.com.br/jogo/pANFt4Ed/#/resumo-de-jogo,AUSTRÁLIA# NPL - Oeste,25/03/2023 04:00,Perth Glory U21,0,0,Armadale
x4A14763,https://www.flashscore.com.br/jogo/x4A14763/#/resumo-de-jogo,AUSTRÁLIA# NPL - Oeste,25/03/2023 04:00,Perth SC,0,0,Sorrento
WKrJfAL1,https://www.flashscore.com.br/jogo/WKrJfAL1/#/resumo-de-jogo,AUSTRÁLIA# NPL - New South Wales,25/03/2023 04:30,Sydney Olympic,0,0,NWS Spirit
ED9VR6OS,https://www.flashscore.com.br/jogo/ED9VR6OS/#/resumo-de-jogo,RÚSSIA# Divisão Suprema - Feminina,25/03/2023 04:30,Zvezda F,0,0,Lok. Moscow F
SfhQWTAH,https://www.flashscore.com.br/jogo/SfhQWTAH/#/resumo-de-jogo,FILIPINAS# PFL,25/03/2023 04:30,Cebu FC,0,0,Mendiola FC 1991
bRz5IDD8,https://www.flashscore.com.br/jogo/bRz5IDD8/#/resumo-de-jogo,AUSTRÁLIA# NPL - New South Wales,25/03/2023 04:30,Sutherland,0,0,Sydney Utd.
xIZ8HXSE,https://www.flashscore.com.br/jogo/xIZ8HXSE/#/resumo-de-jogo,AUSTRÁLIA# NPL - New South Wales,25/03/2023 05:00,Marconi,0,0,Manly Utd.
KtPDGirL,https://www.flashscore.com.br/jogo/KtPDGirL/#/resumo-de-jogo,AUSTRÁLIA# NPL - New South Wales,25/03/2023 05:00,WS Wanderers U21,0,0,APIA Leichhardt
OOrJZ3El,https://www.flashscore.com.br/jogo/OOrJZ3El/#/resumo-de-jogo,AUSTRÁLIA# NPL - Victoria,25/03/2023 05:00,Dandenong,0,0,Port Melbourne Sharks
zXJuM7Z8,https://www.flashscore.com.br/jogo/zXJuM7Z8/#/resumo-de-jogo,ÁFRICA DO SUL# Diski Challenge,25/03/2023 05:00,Mamelodi U23,0,0,Supersport U23
KOygb4s2,https://www.flashscore.com.br/jogo/KOygb4s2/#/resumo-de-jogo,ÁFRICA DO SUL# Diski Challenge,25/03/2023 05:00,Chippa United U23,0,0,Maritzburg Utd U23
